State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Kamalapuram,1,OBAIAH GUDISENAPALLI,Bahujan Samaj Party,3807,0,3807,2.47
Andhra Pradesh,Kamalapuram,2,CHANDRA SEKHAR REDDY POTTI PATI,Indian National Congress,2680,0,2680,1.74
Andhra Pradesh,Kamalapuram,3,NARASIMHA REDDY PUTHA,Telugu Desam,58958,0,58958,38.18
Andhra Pradesh,Kamalapuram,4,PALEM SURESH KUMAR REDDY,Bharatiya Janata Party,964,0,964,0.62
Andhra Pradesh,Kamalapuram,5,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,85118,0,85118,55.12
Andhra Pradesh,Kamalapuram,6,ABBIREDDY VEERA REDDY,All India Forward Bloc,273,0,273,0.18
Andhra Pradesh,Kamalapuram,7,NAREDDY KISHORE REDDY,Janata Dal  (Secular),85,0,85,0.06
Andhra Pradesh,Kamalapuram,8,VADLAKUNTA SURYA PRAKASH,Pyramid Party of India,66,0,66,0.04
Andhra Pradesh,Kamalapuram,9,SUDHAKAR REDDY SINGAM,Anna YSR Congress Party,73,0,73,0.05
Andhra Pradesh,Proddatur,1,Kovvuru Bala Chandra Reddy,Bharatiya Janata Party,2197,0,2197,1.21
Andhra Pradesh,Proddatur,2,Gorre Srinivasulu,Indian National Congress,2449,0,2449,1.35
